primary_artist,Year,Title,artist_list,is_first_appearance,total_appearances,record_label,album_year,record_label_list,decade,is_major_label,No.,reappearance_count,sqrt_reappearance,reappears_after_first
anne murray,1970,"""Snowbird""","""anne murray""",TRUE,8,EMI Music Canada,1994-01-01,EMI Music Canada,1970,FALSE,42,7,2.6457513110645907,TRUE
marmalade,1970,"""Reflections of My Life""","""marmalade""",TRUE,1,Union Square Music,1969-11-14,Union Square Music,1970,FALSE,43,0,0,FALSE
eddie holman,1970,"""Hey There Lonely Girl""","""eddie holman""",TRUE,1,Geffen,1969-01-01,Geffen,1970,FALSE,44,0,0,FALSE
the jaggerz,1970,"""The Rapper""","""the jaggerz""",TRUE,1,Buddha Records,1970,Buddha Records,1970,FALSE,45,0,0,FALSE
the hollies,1970,"""He Ain't Heavy, He's My Brother""","""the hollies""",TRUE,3,Epic/Legacy,1967,Epic; Legacy,1970,TRUE,46,2,1.4142135623730951,TRUE
alive n kickin',1970,"""Tighter, Tighter""","""alive n kickin'""",TRUE,1,Rhino,1970,Rhino,1970,TRUE,47,0,0,FALSE
badfinger,1970,"""Come and Get It""","""badfinger""",TRUE,2,EMI Catalogue,1970-01-09,EMI Catalogue,1970,FALSE,48,1,1,TRUE
charles wright,1970,"""Love Land""","[""charles wright"",""the watts 103rd street rhythm band""]",TRUE,2,Rhino/Warner Records,1970-01-01,Rhino; Warner Records,1970,TRUE,50,1,1,TRUE
tyrone davis,1970,"""Turn Back the Hands of Time""","""tyrone davis""",TRUE,1,Brunswick Records,1970,Brunswick Records,1970,FALSE,51,0,0,FALSE
the kinks,1970,"""Lola""","""the kinks""",TRUE,2,Sanctuary Records,1970-11-27,Sanctuary Records,1970,FALSE,52,1,1,TRUE
mungo jerry,1970,"""In the Summertime""","""mungo jerry""",TRUE,1,Sanctuary Records,1970-01-01,Sanctuary Records,1970,FALSE,53,0,0,FALSE
r. dean taylor,1970,"""Indiana Wants Me""","""r. dean taylor""",TRUE,1,Motown,1967-01-23,Motown,1970,TRUE,54,0,0,FALSE
the four tops,1970,"""Still Water (Love)""","""the four tops""",TRUE,2,Motown,1970,Motown,1970,TRUE,58,1,1,TRUE
chicago,1970,"""Make Me Smile""","""chicago""",TRUE,15,Rhino,1970-01-26,Rhino,1970,TRUE,59,14,3.7416573867739413,TRUE
frijid pink,1970,"""The House of the Rising Sun""","""frijid pink""",TRUE,1,"ABKCO Music & Records, Inc.",1964-01-01,"ABKCO Music & Records, Inc.",1970,FALSE,60,0,0,FALSE
white plains,1970,"""My Baby Loves Lovin'""","""white plains""",TRUE,1,Fuel Records,1960-03-09,Fuel Records,1970,FALSE,62,0,0,FALSE
the friends of distinction,1970,"""Love or Let Me Be Lonely""","""the friends of distinction""",TRUE,1,RCA/Legacy,1970-03-01,RCA; Legacy,1970,TRUE,63,0,0,FALSE
the brotherhood of man,1970,"""United We Stand""","""the brotherhood of man""",TRUE,1,Universal Digital Enterprises,1968-12-12,Universal Digital Enterprises,1970,FALSE,64,0,0,FALSE
mark lindsay,1970,"""Arizona""","""mark lindsay""",TRUE,1,Columbia,1969-03-05,Columbia,1970,TRUE,66,0,0,FALSE
james taylor,1970,"""Fire and Rain""","""james taylor""",TRUE,4,Rhino/Warner Records,1970-02-01,Rhino; Warner Records,1970,TRUE,67,3,1.7320508075688772,TRUE
gene chandler,1970,"""Groovy Situation""","""gene chandler""",TRUE,1,Legacy Recordings,1990-10,Legacy Recordings,1970,FALSE,68,0,0,FALSE
santana,1970,"""Evil Ways""","""santana""",TRUE,9,Columbia/Legacy,1969,Columbia; Legacy,1970,TRUE,69,8,2.8284271247461903,TRUE
the delfonics,1970,"""Didn't I (Blow Your Mind This Time)""","""the delfonics""",TRUE,1,Buddha Records,1968,Buddha Records,1970,FALSE,71,0,0,FALSE
elvis presley,1970,"""The Wonder of You""","""elvis presley""",TRUE,3,GoldState Music,1985-12-21,GoldState Music,1970,FALSE,72,2,1.4142135623730951,TRUE
ronnie dyson,1970,"""(If You Let Me Make Love To You Then) Why Can't I Touch You?""","""ronnie dyson""",TRUE,1,Columbia/Legacy,1970-05-01,Columbia; Legacy,1970,TRUE,74,0,0,FALSE
the spinners,1970,"""It's a Shame""","""the spinners""",TRUE,7,UNI/MOTOWN,1970,UNI; MOTOWN,1970,TRUE,76,6,2.449489742783178,TRUE
bobbi martin,1970,"""For the Love of Him""","""bobbi martin""",TRUE,1,Motown,1994-01-01,Motown,1970,TRUE,77,0,0,FALSE
mountain,1970,"""Mississippi Queen""","""mountain""",TRUE,1,Columbia/Legacy,1970,Columbia; Legacy,1970,TRUE,78,0,0,FALSE
ike,1970,"""I Want to Take You Higher""","[""ike"",""tina turner""]",TRUE,2,CAPITOL CATALOG MKT (C92),1970-05-08,CAPITOL CATALOG MKT (C92),1970,FALSE,79,1,1,TRUE
joe cocker,1970,"""The Letter""","""joe cocker""",TRUE,3,A&M,1970-08-18,A&M,1970,FALSE,80,2,1.4142135623730951,TRUE
tee-set,1970,"""Ma Belle Amie""","""tee-set""",TRUE,1,Pseudonym / TSR,1970-04-02,Pseudonym; TSR,1970,FALSE,81,0,0,FALSE
the originals,1970,"""The Bells""","""the originals""",TRUE,1,UNI/MOTOWN,1970-06-01,UNI; MOTOWN,1970,TRUE,82,0,0,FALSE
christie,1970,"""Yellow River""","""christie""",TRUE,1,Craft Recordings,1969-08-03,Craft Recordings,1970,FALSE,83,0,0,FALSE
100 proof (aged in soul),1970,"""Somebody's Been Sleeping""","""100 proof (aged in soul)""",TRUE,1,Edsel,1971-01-01,Edsel,1970,FALSE,84,0,0,FALSE
the ides of march,1970,"""Vehicle""","""the ides of march""",TRUE,1,Rhino/Warner Records,1970,Rhino; Warner Records,1970,TRUE,85,0,0,FALSE
the pipkins,1970,"""Gimme Dat Ding""","""the pipkins""",TRUE,1,Chrysalis Copyrights,1970-01-01,Chrysalis Copyrights,1970,FALSE,86,0,0,FALSE
robin mcnamara,1970,"""Lay a Little Lovin' on Me""","""robin mcnamara""",TRUE,1,Fuel Records,1960-03-09,Fuel Records,1970,FALSE,87,0,0,FALSE
the supremes,1970,"""Up the Ladder to the Roof""","""the supremes""",TRUE,1,Motown,1970-04-26,Motown,1970,TRUE,88,0,0,FALSE
the sandpipers,1970,"""Come Saturday Morning""","""the sandpipers""",TRUE,1,A&M,1970-08-31,A&M,1970,FALSE,90,0,0,FALSE
tom jones,1970,"""Without Love (There Is Nothing)""","""tom jones""",TRUE,2,Mercury Records,1994-12-06,Mercury Records,1970,FALSE,92,1,1,TRUE
pacific gas,1970,"""Are You Ready?""","[""pacific gas"",""electric""]",TRUE,1,Columbia/Legacy,1970,Columbia; Legacy,1970,TRUE,93,0,0,FALSE
crosby,1970,"""Woodstock""","[""crosby"",""stills"",""nash"",""young""]",TRUE,3,Rhino Atlantic,1969-05-29,Rhino Atlantic,1970,TRUE,94,2,1.4142135623730951,TRUE
dionne warwick,1970,"""I'll Never Fall in Love Again""","""dionne warwick""",TRUE,5,Rhino,1970,Rhino,1970,TRUE,95,4,2,TRUE
the new seekers,1970,"""Look What They've Done to My Song Ma""","""the new seekers""",TRUE,2,Rhino/Elektra,1971,Rhino; Elektra,1970,TRUE,96,1,1,TRUE
