No.,Title,Artist,Year,all_artists,artist_list,primary_artist,other_artists,primary_artist_count,one_hit
1,"""Bridge Over Troubled Water""",simon & garfunkel,1970,simon & garfunkel,,simon,garfunkel,2,0
1,"""Joy to the World""",three dog night,1971,three dog night,,three dog night,NA,7,0
1,"""The First Time Ever I Saw Your Face""",roberta flack,1972,roberta flack,,roberta flack,NA,6,0
1,"""Tie a Yellow Ribbon Round the Ole Oak Tree""",tony orlando and dawn,1973,tony orlando and dawn,,tony orl,"o, dawn",4,0
1,"""The Way We Were""",barbra streisand,1974,barbra streisand,,barbra streis,NA,10,0
1,"""Love Will Keep Us Together""",captain & tennille,1975,captain & tennille,,captain,tennille,5,0
1,"""Silly Love Songs""",wings,1976,wings,,wings,NA,5,0
1,"""Tonight's the Night (Gonna Be Alright)""",rod stewart,1977,rod stewart,,rod stewart,NA,14,0
1,"""Shadow Dancing""",andy gibb,1978,andy gibb,,,y gibb,12,0
1,"""My Sharona""",the knack,1979,the knack,,the knack,NA,1,1
1,"""Call Me""",blondie,1980,blondie,,blondie,NA,4,0
1,"""Bette Davis Eyes""",kim carnes,1981,kim carnes,,kim carnes,NA,2,0
1,"""Physical""",olivia newton-john,1982,olivia newton-john,,olivia newton-john,NA,13,0
1,"""Every Breath You Take""",the police,1983,the police,,the police,NA,5,0
1,"""When Doves Cry""",prince,1984,prince,,prince,NA,15,0
1,"""Careless Whisper""",wham!,1985,wham!,,wham!,NA,7,0
1,"""That's What Friends Are For""","dionne and friends (dionne warwick, gladys knight, elton john and stevie wonder)",1986,"dionne and friends (dionne warwick, gladys knight, elton john and stevie wonder)",,dionne,"friends (dionne warwick, gladys knight, elton john, stevie wonder)",1,1
1,"""Walk Like An Egyptian""",the bangles,1987,the bangles,,the bangles,NA,5,0
1,"""Faith""",george michael,1988,george michael,,george michael,NA,12,0
1,"""Look Away""",chicago,1989,chicago,,chicago,NA,15,0
1,"""Hold On""",wilson phillips,1990,wilson phillips,,wilson phillips,NA,4,0
1,"""(Everything I Do) I Do It for You""",bryan adams,1991,bryan adams,,bryan adams,NA,12,0
1,"""End of the Road""",boyz ii men,1992,boyz ii men,,boyz ii men,NA,13,0
1,"""I Will Always Love You""",whitney houston,1993,whitney houston,,whitney houston,NA,22,0
1,"""The Sign""",ace of base,1994,ace of base,,ace of base,NA,6,0
1,"""Gangsta's Paradise""",coolio featuring l.v.,1995,coolio featuring l.v.,,coolio,l.v.,5,0
1,"""Macarena (Bayside Boys Mix)""",los del río,1996,los del río,,los del río,NA,3,0
1,"""Candle in the Wind 1997"" / ""Something About the Way You Look Tonight""",elton john,1997,elton john,,elton john,NA,28,0
1,"""Too Close""",next,1998,next,,next,NA,5,0
1,"""Believe""",cher,1999,cher,,cher,NA,10,0
1,"""Breathe""",faith hill,2000,faith hill,,faith hill,NA,6,0
1,"""Hanging by a Moment""",lifehouse,2001,lifehouse,,lifehouse,NA,4,0
1,"""How You Remind Me""",nickelback,2002,nickelback,,nickelback,NA,11,0
1,"""In da Club""",50 cent,2003,50 cent,,50 cent,NA,9,0
1,"""Yeah!""",usher featuring lil jon and ludacris,2004,usher featuring lil jon and ludacris,,usher,"lil jon, ludacris",25,0
1,"""We Belong Together""",mariah carey,2005,mariah carey,,mariah carey,NA,35,0
1,"""Bad Day""",daniel powter,2006,daniel powter,,daniel powter,NA,1,1
1,"""Irreplaceable""",beyoncé,2007,beyoncé,,beyoncé,NA,23,0
1,"""Low""",flo rida featuring t-pain,2008,flo rida featuring t-pain,,flo rida,t-pain,11,0
1,"""Boom Boom Pow""",the black eyed peas,2009,the black eyed peas,,the black eyed peas,NA,15,0
1,"""Tik Tok""",kesha,2010,kesha,,kesha,NA,9,0
1,"""Rolling in the Deep""",adele,2011,adele,,adele,NA,13,0
1,"""Somebody That I Used to Know""",gotye featuring kimbra,2012,gotye featuring kimbra,,gotye,kimbra,1,1
1,"""Thrift Shop""",macklemore & ryan lewis featuring wanz,2013,macklemore & ryan lewis featuring wanz,,macklemore,"ryan lewis, wanz",5,0
1,"""Happy""",pharrell williams,2014,pharrell williams,,pharrell williams,NA,1,1
1,"""Uptown Funk""",mark ronson featuring bruno mars,2015,mark ronson featuring bruno mars,,mark ronson,bruno mars,1,1
1,"""Love Yourself""",justin bieber,2016,justin bieber,,justin bieber,NA,16,0
1,"""Shape of You""",ed sheeran,2017,ed sheeran,,ed sheeran,NA,16,0
1,"""God's Plan""",drake,2018,drake,,drake,NA,43,0
1,"""Old Town Road""",lil nas x featuring billy ray cyrus,2019,lil nas x featuring billy ray cyrus,,lil nas x,billy ray cyrus,7,0
1,"""Blinding Lights""",the weeknd,2020,the weeknd,,the weeknd,NA,18,0
1,"""Levitating""",dua lipa,2021,dua lipa,,dua lipa,NA,10,0
1,"""Heat Waves""",glass animals,2022,glass animals,,glass animals,NA,2,0
1,"""Last Night""",morgan wallen,2023,morgan wallen,,morgan wallen,NA,18,0
1,"""Lose Control""",teddy swims,2024,teddy swims,,teddy swims,NA,1,1
2,"""(They Long to Be) Close to You""",the carpenters,1970,the carpenters,,the carpenters,NA,11,0
2,"""Maggie May""/""Reason to Believe""",rod stewart,1971,rod stewart,,rod stewart,NA,14,0
2,"""Alone Again (Naturally)""",gilbert o'sullivan,1972,gilbert o'sullivan,,gilbert o'sullivan,NA,3,0
2,"""Bad, Bad Leroy Brown""",jim croce,1973,jim croce,,jim croce,NA,4,0
2,"""Seasons in the Sun""",terry jacks,1974,terry jacks,,terry jacks,NA,1,1
2,"""Rhinestone Cowboy""",glen campbell,1975,glen campbell,,glen campbell,NA,4,0
2,"""Don't Go Breaking My Heart""",elton john & kiki dee,1976,elton john & kiki dee,,elton john,kiki dee,28,0
2,"""I Just Want to Be Your Everything""",andy gibb,1977,andy gibb,,,y gibb,12,0
2,"""Night Fever""",bee gees,1978,bee gees,,bee gees,NA,12,0
2,"""Bad Girls""",donna summer,1979,donna summer,,donna summer,NA,11,0
2,"""Another Brick in the Wall, Part II""",pink floyd,1980,pink floyd,,pink floyd,NA,2,0
2,"""Endless Love""",diana ross & lionel richie,1981,diana ross & lionel richie,,diana ross,lionel richie,13,0
2,"""Eye of the Tiger""",survivor,1982,survivor,,survivor,NA,5,0
2,"""Billie Jean""",michael jackson,1983,michael jackson,,michael jackson,NA,26,0
2,"""What's Love Got to Do with It""",tina turner,1984,tina turner,,tina turner,NA,6,0
2,"""Like a Virgin""",madonna,1985,madonna,,madonna,NA,36,0
2,"""Say You, Say Me""",lionel richie,1986,lionel richie,,lionel richie,NA,12,0
2,"""Alone""",heart,1987,heart,,heart,NA,8,0
2,"""Need You Tonight""",inxs,1988,inxs,,inxs,NA,6,0
2,"""My Prerogative""",bobby brown,1989,bobby brown,,bobby brown,NA,8,0
2,"""It Must Have Been Love""",roxette,1990,roxette,,roxette,NA,6,0
2,"""I Wanna Sex You Up""",color me badd,1991,color me badd,,color me badd,NA,6,0
2,"""Baby Got Back""",sir mix-a-lot,1992,sir mix-a-lot,,sir mix-a-lot,NA,1,1
2,"""Whoomp! (There It Is)""",tag team,1993,tag team,,tag team,NA,2,0
2,"""I Swear""",all-4-one,1994,all-4-one,,all-4-one,NA,3,0
2,"""Waterfalls""",tlc,1995,tlc,,tlc,NA,10,0
2,"""One Sweet Day""",mariah carey and boyz ii men,1996,mariah carey and boyz ii men,,mariah carey,boyz ii men,35,0
2,"""You Were Meant for Me"" / ""Foolish Games""",jewel,1997,jewel,,jewel,NA,6,0
2,"""The Boy Is Mine""",brandy and monica,1998,brandy and monica,,br,"y, monica",11,0
2,"""No Scrubs""",tlc,1999,tlc,,tlc,NA,10,0
2,"""Smooth""",santana featuring rob thomas,2000,santana featuring rob thomas,,santana,rob thomas,9,0
2,"""Fallin'""",alicia keys,2001,alicia keys,,alicia keys,NA,12,0
2,"""Foolish""",ashanti,2002,ashanti,,ashanti,NA,5,0
2,"""Ignition""",r. kelly,2003,r. kelly,,r. kelly,NA,18,0
2,"""Burn""",usher,2004,usher,,usher,NA,25,0
2,"""Hollaback Girl""",gwen stefani,2005,gwen stefani,,gwen stefani,NA,5,0
2,"""Temperature""",sean paul,2006,sean paul,,sean paul,NA,8,0
2,"""Umbrella""",rihanna featuring jay-z,2007,rihanna featuring jay-z,,rihanna,jay-z,33,0
2,"""Bleeding Love""",leona lewis,2008,leona lewis,,leona lewis,NA,2,0
2,"""Poker Face""",lady gaga,2009,lady gaga,,lady gaga,NA,17,0
2,"""Need You Now""",lady antebellum,2010,lady antebellum,,lady antebellum,NA,6,0
2,"""Party Rock Anthem""",lmfao featuring lauren bennett and goonrock,2011,lmfao featuring lauren bennett and goonrock,,lmfao,"lauren bennett, goonrock",4,0
2,"""Call Me Maybe""",carly rae jepsen,2012,carly rae jepsen,,carly rae jepsen,NA,1,1
2,"""Blurred Lines""",robin thicke featuring t.i. and pharrell williams,2013,robin thicke featuring t.i. and pharrell williams,,robin thicke,"t.i., pharrell williams",3,0
2,"""Dark Horse""",katy perry featuring juicy j,2014,katy perry featuring juicy j,,katy perry,juicy j,18,0
2,"""Thinking Out Loud""",ed sheeran,2015,ed sheeran,,ed sheeran,NA,16,0
2,"""Sorry""",justin bieber,2016,justin bieber,,justin bieber,NA,16,0
2,"""Despacito (Remix)""",luis fonsi and daddy yankee featuring justin bieber,2017,luis fonsi and daddy yankee featuring justin bieber,,luis fonsi,"daddy yankee, justin bieber",1,1
2,"""Perfect""",ed sheeran,2018,ed sheeran,,ed sheeran,NA,16,0
2,"""Sunflower""",post malone and swae lee,2019,post malone and swae lee,,post malone,swae lee,19,0
2,"""Circles""",post malone,2020,post malone,,post malone,NA,19,0
2,"""Save Your Tears""",the weeknd and ariana grande,2021,the weeknd and ariana grande,,the weeknd,"ariana gr, e",18,0
2,"""As It Was""",harry styles,2022,harry styles,,harry styles,NA,6,0
2,"""Flowers""",miley cyrus,2023,miley cyrus,,miley cyrus,NA,12,0
2,"""A Bar Song (Tipsy)""",shaboozey,2024,shaboozey,,shaboozey,NA,1,1
3,"""American Woman""",the guess who,1970,the guess who,,the guess who,NA,3,0
3,"""It's Too Late""/""I Feel the Earth Move""",carole king,1971,carole king,,carole king,NA,2,0
3,"""American Pie""",don mclean,1972,don mclean,,don mclean,NA,3,0
3,"""Killing Me Softly with His Song""",roberta flack,1973,roberta flack,,roberta flack,NA,6,0
3,"""Love's Theme""",love unlimited orchestra,1974,love unlimited orchestra,,love unlimited orchestra,NA,1,1
3,"""Philadelphia Freedom""",elton john,1975,elton john,,elton john,NA,28,0
3,"""Disco Lady""",johnnie taylor,1976,johnnie taylor,,johnnie taylor,NA,2,0
3,"""Best of My Love""",the emotions,1977,the emotions,,the emotions,NA,1,1
3,"""You Light Up My Life""",debby boone,1978,debby boone,,debby boone,NA,1,1
3,"""Le Freak""",chic,1979,chic,,chic,NA,4,0
3,"""Magic""",olivia newton-john,1980,olivia newton-john,,olivia newton-john,NA,13,0
3,"""Lady""",kenny rogers,1981,kenny rogers,,kenny rogers,NA,13,0
3,"""I Love Rock 'n Roll""",joan jett & the blackhearts,1982,joan jett & the blackhearts,,joan jett,the blackhearts,3,0
3,"""Flashdance... What a Feeling""",irene cara,1983,irene cara,,irene cara,NA,3,0
3,"""Say, Say, Say""",paul mccartney and michael jackson,1984,paul mccartney and michael jackson,,paul mccartney,michael jackson,13,0
3,"""Wake Me Up Before You Go-Go""",wham!,1985,wham!,,wham!,NA,7,0
3,"""I Miss You""",klymaxx,1986,klymaxx,,klymaxx,NA,1,1
3,"""Shake You Down""",gregory abbott,1987,gregory abbott,,gregory abbott,NA,1,1
3,"""Got My Mind Set on You""",george harrison,1988,george harrison,,george harrison,NA,4,0
3,"""Every Rose Has Its Thorn""",poison,1989,poison,,poison,NA,4,0
3,"""Nothing Compares 2 U""",sinéad o'connor,1990,sinéad o'connor,,sinéad o'connor,NA,1,1
3,"""Gonna Make You Sweat (Everybody Dance Now)""",c+c music factory,1991,c+c music factory,,c+c music factory,NA,3,0
3,"""Jump""",kris kross,1992,kris kross,,kris kross,NA,4,0
3,"""Can't Help Falling in Love""",ub40,1993,ub40,,ub40,NA,4,0
3,"""I'll Make Love to You""",boyz ii men,1994,boyz ii men,,boyz ii men,NA,13,0
3,"""Creep""",tlc,1995,tlc,,tlc,NA,10,0
3,"""Because You Loved Me""",celine dion,1996,celine dion,,celine dion,NA,11,0
3,"""I'll Be Missing You""",puff daddy and faith evans featuring 112,1997,puff daddy and faith evans featuring 112,,puff daddy,"faith evans, 112",6,0
3,"""You're Still the One""",shania twain,1998,shania twain,,shania twain,NA,5,0
3,"""Angel of Mine""",monica,1999,monica,,monica,NA,8,0
3,"""Maria Maria""",santana featuring the product g&b,2000,santana featuring the product g&b,,santana,"the product g, b",9,0
3,"""All for You""",janet jackson,2001,janet jackson,,janet jackson,NA,24,0
3,"""Hot in Herre""",nelly,2002,nelly,,nelly,NA,14,0
3,"""Get Busy""",sean paul,2003,sean paul,,sean paul,NA,8,0
3,"""If I Ain't Got You""",alicia keys,2004,alicia keys,,alicia keys,NA,12,0
3,"""Let Me Love You""",mario,2005,mario,,mario,NA,3,0
3,"""Promiscuous""",nelly furtado featuring timbaland,2006,nelly furtado featuring timbaland,,nelly furtado,"timbal,",5,0
3,"""The Sweet Escape""",gwen stefani featuring akon,2007,gwen stefani featuring akon,,gwen stefani,akon,5,0
3,"""No One""",alicia keys,2008,alicia keys,,alicia keys,NA,12,0
3,"""Just Dance""",lady gaga featuring colby o'donis,2009,lady gaga featuring colby o'donis,,lady gaga,colby o'donis,17,0
3,"""Hey, Soul Sister""",train,2010,train,,train,NA,6,0
3,"""Firework""",katy perry,2011,katy perry,,katy perry,NA,18,0
3,"""We Are Young""",fun featuring janelle monáe,2012,fun featuring janelle monáe,,fun,janelle monáe,4,0
3,"""Radioactive""",imagine dragons,2013,imagine dragons,,imagine dragons,NA,13,0
3,"""All of Me""",john legend,2014,john legend,,john legend,NA,3,0
3,"""See You Again""",wiz khalifa featuring charlie puth,2015,wiz khalifa featuring charlie puth,,wiz khalifa,charlie puth,5,0
3,"""One Dance""",drake featuring wizkid and kyla,2016,drake featuring wizkid and kyla,,drake,"wizkid, kyla",43,0
3,"""That's What I Like""",bruno mars,2017,bruno mars,,bruno mars,NA,11,0
3,"""Meant to Be""",bebe rexha featuring florida georgia line,2018,bebe rexha featuring florida georgia line,,bebe rexha,florida georgia line,1,1
3,"""Without Me""",halsey,2019,halsey,,halsey,NA,4,0
3,"""The Box""",roddy ricch,2020,roddy ricch,,roddy ricch,NA,3,0
3,"""Blinding Lights""",the weeknd,2021,the weeknd,,the weeknd,NA,18,0
3,"""Stay""",the kid laroi and justin bieber,2022,the kid laroi and justin bieber,,the kid laroi,justin bieber,3,0
3,"""Kill Bill""",sza,2023,sza,,sza,NA,9,0
3,"""Beautiful Things""",benson boone,2024,benson boone,,benson boone,NA,2,0
4,"""Raindrops Keep Fallin' on My Head""",b.j. thomas,1970,b.j. thomas,,b.j. thomas,NA,4,0
4,"""One Bad Apple""",the osmonds,1971,the osmonds,,the osmonds,NA,3,0
4,"""Without You""",harry nilsson,1972,harry nilsson,,harry nilsson,NA,2,0
4,"""Let's Get It On""",marvin gaye,1973,marvin gaye,,marvin gaye,NA,5,0
4,"""Come and Get Your Love""",redbone,1974,redbone,,redbone,NA,2,0
4,"""Before the Next Teardrop Falls""",freddy fender,1975,freddy fender,,freddy fender,NA,2,0
4,"""December, 1963 (Oh, What a Night)""",the four seasons,1976,the four seasons,,the four seasons,NA,2,0
4,"""Evergreen (Love Theme from A Star Is Born)""",barbra streisand,1977,barbra streisand,,barbra streis,NA,10,0
4,"""Stayin' Alive""",bee gees,1978,bee gees,,bee gees,NA,12,0
4,"""Da Ya Think I'm Sexy?""",rod stewart,1979,rod stewart,,rod stewart,NA,14,0
4,"""Rock with You""",michael jackson,1980,michael jackson,,michael jackson,NA,26,0
4,"""(Just Like) Starting Over""",john lennon,1981,john lennon,,john lennon,NA,5,0
4,"""Ebony and Ivory""",paul mccartney and stevie wonder,1982,paul mccartney and stevie wonder,,paul mccartney,stevie wonder,13,0
4,"""Down Under""",men at work,1983,men at work,,men at work,NA,4,0
4,"""Footloose""",kenny loggins,1984,kenny loggins,,kenny loggins,NA,6,0
4,"""I Want to Know What Love Is""",foreigner,1985,foreigner,,foreigner,NA,9,0
4,"""On My Own""",patti labelle and michael mcdonald,1986,patti labelle and michael mcdonald,,patti labelle,michael mcdonald,1,1
4,"""I Wanna Dance with Somebody (Who Loves Me)""",whitney houston,1987,whitney houston,,whitney houston,NA,22,0
4,"""Never Gonna Give You Up""",rick astley,1988,rick astley,,rick astley,NA,4,0
4,"""Straight Up""",paula abdul,1989,paula abdul,,paula abdul,NA,8,0
4,"""Poison""",bell biv devoe,1990,bell biv devoe,,bell biv devoe,NA,2,0
4,"""Rush Rush""",paula abdul,1991,paula abdul,,paula abdul,NA,8,0
4,"""Save the Best for Last""",vanessa williams,1992,vanessa williams,,vanessa williams,NA,5,0
4,"""That's the Way Love Goes""",janet jackson,1993,janet jackson,,janet jackson,NA,24,0
4,"""The Power of Love""",celine dion,1994,celine dion,,celine dion,NA,11,0
4,"""Kiss from a Rose""",seal,1995,seal,,seal,NA,5,0
4,"""Nobody Knows""",the tony rich project,1996,the tony rich project,,the tony rich project,NA,1,1
4,"""Un-Break My Heart""",toni braxton,1997,toni braxton,,toni braxton,NA,9,0
4,"""Truly Madly Deeply""",savage garden,1998,savage garden,,savage garden,NA,4,0
4,"""Heartbreak Hotel""",whitney houston featuring faith evans and kelly price,1999,whitney houston featuring faith evans and kelly price,,whitney houston,"faith evans, kelly price",22,0
4,"""I Wanna Know""",joe,2000,joe,,joe,NA,4,0
4,"""Drops of Jupiter (Tell Me)""",train,2001,train,,train,NA,6,0
4,"""Dilemma""",nelly featuring kelly rowland,2002,nelly featuring kelly rowland,,nelly,"kelly rowl,",14,0
4,"""Crazy in Love""",beyoncé featuring jay-z,2003,beyoncé featuring jay-z,,beyoncé,jay-z,23,0
4,"""This Love""",maroon 5,2004,maroon 5,,maroon 5,NA,25,0
4,"""Since U Been Gone""",kelly clarkson,2005,kelly clarkson,,kelly clarkson,NA,17,0
4,"""You're Beautiful""",james blunt,2006,james blunt,,james blunt,NA,1,1
4,"""Big Girls Don't Cry""",fergie,2007,fergie,,fergie,NA,6,0
4,"""Lollipop""",lil wayne featuring static major,2008,lil wayne featuring static major,,lil wayne,static major,11,0
4,"""I Gotta Feeling""",the black eyed peas,2009,the black eyed peas,,the black eyed peas,NA,15,0
4,"""California Gurls""",katy perry featuring snoop dogg,2010,katy perry featuring snoop dogg,,katy perry,snoop dogg,18,0
4,"""E.T.""",katy perry featuring kanye west,2011,katy perry featuring kanye west,,katy perry,kanye west,18,0
4,"""Payphone""",maroon 5 featuring wiz khalifa,2012,maroon 5 featuring wiz khalifa,,maroon 5,wiz khalifa,25,0
4,"""Harlem Shake""",baauer,2013,baauer,,baauer,NA,1,1
4,"""Fancy""",iggy azalea featuring charli xcx,2014,iggy azalea featuring charli xcx,,iggy azalea,charli xcx,2,0
4,"""Trap Queen""",fetty wap,2015,fetty wap,,fetty wap,NA,4,0
4,"""Work""",rihanna featuring drake,2016,rihanna featuring drake,,rihanna,drake,33,0
4,"""Humble""",kendrick lamar,2017,kendrick lamar,,kendrick lamar,NA,8,0
4,"""Havana""",camila cabello featuring young thug,2018,camila cabello featuring young thug,,camila cabello,young thug,5,0
4,"""Bad Guy""",billie eilish,2019,billie eilish,,billie eilish,NA,12,0
4,"""Don't Start Now""",dua lipa,2020,dua lipa,,dua lipa,NA,10,0
4,"""Mood""",24kgoldn featuring iann dior,2021,24kgoldn featuring iann dior,,24kgoldn,iann dior,2,0
4,"""Easy on Me""",adele,2022,adele,,adele,NA,13,0
4,"""Anti-Hero""",taylor swift,2023,taylor swift,,taylor swift,NA,36,0
4,"""I Had Some Help""",post malone featuring morgan wallen,2024,post malone featuring morgan wallen,,post malone,morgan wallen,19,0
5,"""War""",edwin starr,1970,edwin starr,,edwin starr,NA,1,1
5,"""How Can You Mend a Broken Heart""",bee gees,1971,bee gees,,bee gees,NA,12,0
5,"""The Candy Man""",sammy davis jr.,1972,sammy davis jr.,,sammy davis jr.,NA,1,1
5,"""My Love""",paul mccartney & wings,1973,paul mccartney & wings,,paul mccartney,wings,13,0
5,"""Dancing Machine""",the jackson 5,1974,the jackson 5,,the jackson 5,NA,7,0
5,"""My Eyes Adored You""",frankie valli,1975,frankie valli,,frankie valli,NA,3,0
5,"""Play That Funky Music""",wild cherry,1976,wild cherry,,wild cherry,NA,1,1
5,"""Angel in Your Arms""",hot,1977,hot,,hot,NA,1,1
5,"""Kiss You All Over""",exile,1978,exile,,exile,NA,1,1
5,"""Reunited""",peaches & herb,1979,peaches & herb,,peaches,herb,3,0
5,"""Do That to Me One More Time""",captain & tennille,1980,captain & tennille,,captain,tennille,5,0
5,"""Jessie's Girl""",rick springfield,1981,rick springfield,,rick springfield,NA,5,0
5,"""Centerfold""",the j. geils band,1982,the j. geils band,,the j. geils b,NA,2,0
5,"""Beat It""",michael jackson,1983,michael jackson,,michael jackson,NA,26,0
5,"""Against All Odds (Take a Look at Me Now)""",phil collins,1984,phil collins,,phil collins,NA,14,0
5,"""I Feel for You""",chaka khan,1985,chaka khan,,chaka khan,NA,1,1
5,"""Broken Wings""",mr. mister,1986,mr. mister,,mr. mister,NA,2,0
5,"""Nothing's Gonna Stop Us Now""",starship,1987,starship,,starship,NA,3,0
5,"""Sweet Child o' Mine""",guns n' roses,1988,guns n' roses,,guns n' roses,NA,5,0
5,"""Miss You Much""",janet jackson,1989,janet jackson,,janet jackson,NA,24,0
5,"""Vogue""",madonna,1990,madonna,,madonna,NA,36,0
5,"""One More Try""",timmy t,1991,timmy t,,timmy t,NA,1,1
5,"""Baby-Baby-Baby""",tlc,1992,tlc,,tlc,NA,10,0
5,"""Freak Me""",silk,1993,silk,,silk,NA,2,0
5,"""Hero""",mariah carey,1994,mariah carey,,mariah carey,NA,35,0
5,"""On Bended Knee""",boyz ii men,1995,boyz ii men,,boyz ii men,NA,13,0
5,"""Always Be My Baby""",mariah carey,1996,mariah carey,,mariah carey,NA,35,0
5,"""Can't Nobody Hold Me Down""",puff daddy featuring mase,1997,puff daddy featuring mase,,puff daddy,mase,6,0
5,"""How Do I Live""",leann rimes,1998,leann rimes,,leann rimes,NA,5,0
5,"""...Baby One More Time""",britney spears,1999,britney spears,,britney spears,NA,16,0
5,"""Everything You Want""",vertical horizon,2000,vertical horizon,,vertical horizon,NA,1,1
5,"""I'm Real (Murder Remix)""",jennifer lopez featuring ja rule,2001,jennifer lopez featuring ja rule,,jennifer lopez,ja rule,11,0
5,"""Wherever You Will Go""",the calling,2002,the calling,,the calling,NA,1,1
5,"""When I'm Gone""",3 doors down,2003,3 doors down,,3 doors down,NA,8,0
5,"""The Way You Move""",outkast featuring sleepy brown,2004,outkast featuring sleepy brown,,outkast,sleepy brown,7,0
5,"""1, 2 Step""",ciara featuring missy elliott,2005,ciara featuring missy elliott,,ciara,missy elliott,7,0
5,"""Hips Don't Lie""",shakira featuring wyclef jean,2006,shakira featuring wyclef jean,,shakira,wyclef jean,6,0
5,"""Buy U a Drank (Shawty Snappin')""",t-pain featuring yung joc,2007,t-pain featuring yung joc,,t-pain,yung joc,7,0
5,"""Apologize""",onerepublic,2008,onerepublic,,onerepublic,NA,10,0
5,"""Love Story""",taylor swift,2009,taylor swift,,taylor swift,NA,36,0
5,"""OMG""",usher featuring will.i.am,2010,usher featuring will.i.am,,usher,will.i.am,25,0
5,"""Give Me Everything""","pitbull featuring ne-yo, afrojack and nayer",2011,"pitbull featuring ne-yo, afrojack and nayer",,pitbull,"ne-yo, afrojack, nayer",9,0
5,"""Lights""",ellie goulding,2012,ellie goulding,,ellie goulding,NA,5,0
5,"""Can't Hold Us""",macklemore & ryan lewis featuring ray dalton,2013,macklemore & ryan lewis featuring ray dalton,,macklemore,"ryan lewis, ray dalton",5,0
5,"""Counting Stars""",onerepublic,2014,onerepublic,,onerepublic,NA,10,0
5,"""Sugar""",maroon 5,2015,maroon 5,,maroon 5,NA,25,0
5,"""Stressed Out""",twenty one pilots,2016,twenty one pilots,,twenty one pilots,NA,4,0
5,"""Something Just Like This""",the chainsmokers and coldplay,2017,the chainsmokers and coldplay,,the chainsmokers,coldplay,6,0
5,"""Rockstar""",post malone featuring 21 savage,2018,post malone featuring 21 savage,,post malone,21 savage,19,0
5,"""Wow""",post malone,2019,post malone,,post malone,NA,19,0
5,"""Rockstar""",dababy featuring roddy ricch,2020,dababy featuring roddy ricch,,dababy,roddy ricch,3,0
5,"""Good 4 U""",olivia rodrigo,2021,olivia rodrigo,,olivia rodrigo,NA,7,0
5,"""Shivers""",ed sheeran,2022,ed sheeran,,ed sheeran,NA,16,0
5,"""Creepin'""","metro boomin, the weeknd and 21 savage",2023,"metro boomin, the weeknd and 21 savage",,metro boomin,"the weeknd, 21 savage",2,0
5,"""Lovin on Me""",jack harlow,2024,jack harlow,,jack harlow,NA,3,0
6,"""Ain't No Mountain High Enough""",diana ross,1970,diana ross,,diana ross,NA,13,0
6,"""Indian Reservation (The Lament of the Cherokee Reservation Indian)""",raiders,1971,raiders,,raiders,NA,1,1
6,"""I Gotcha""",joe tex,1972,joe tex,,joe tex,NA,2,0
6,"""Why Me""",kris kristofferson,1973,kris kristofferson,,kris kristofferson,NA,1,1
6,"""The Loco-Motion""",grand funk railroad,1974,grand funk railroad,,gr,funk railroad,4,0
6,"""Some Kind of Wonderful""",grand funk railroad,1975,grand funk railroad,,gr,funk railroad,4,0
6,"""Kiss and Say Goodbye""",the manhattans,1976,the manhattans,,the manhattans,NA,2,0
6,"""I Like Dreamin'""",kenny nolan,1977,kenny nolan,,kenny nolan,NA,2,0
6,"""How Deep Is Your Love""",bee gees,1978,bee gees,,bee gees,NA,12,0
6,"""I Will Survive""",gloria gaynor,1979,gloria gaynor,,gloria gaynor,NA,2,0
6,"""Crazy Little Thing Called Love""",queen,1980,queen,,queen,NA,8,0
6,"""Celebration""",kool & the gang,1981,kool & the gang,,kool,the gang,13,0
6,"""Don't You Want Me""",the human league,1982,the human league,,the human league,NA,3,0
6,"""Total Eclipse of the Heart""",bonnie tyler,1983,bonnie tyler,,bonnie tyler,NA,2,0
6,"""Jump""",van halen,1984,van halen,,van halen,NA,6,0
6,"""Out of Touch""",daryl hall & john oates,1985,daryl hall & john oates,,daryl hall,john oates,16,0
6,"""How Will I Know""",whitney houston,1986,whitney houston,,whitney houston,NA,22,0
6,"""C'est La Vie""",robbie nevil,1987,robbie nevil,,robbie nevil,NA,1,1
6,"""So Emotional""",whitney houston,1988,whitney houston,,whitney houston,NA,22,0
6,"""Cold Hearted""",paula abdul,1989,paula abdul,,paula abdul,NA,8,0
6,"""Vision of Love""",mariah carey,1990,mariah carey,,mariah carey,NA,35,0
6,"""Unbelievable""",emf,1991,emf,,emf,NA,1,1
6,"""Tears in Heaven""",eric clapton,1992,eric clapton,,eric clapton,NA,8,0
6,"""Weak""",swv,1993,swv,,swv,NA,6,0
6,"""Stay (I Missed You)""",lisa loeb and nine stories,1994,lisa loeb and nine stories,,lisa loeb,nine stories,2,0
6,"""Another Night""",real mccoy,1995,real mccoy,,real mccoy,NA,5,0
6,"""Give Me One Reason""",tracy chapman,1996,tracy chapman,,tracy chapman,NA,2,0
6,"""I Believe I Can Fly""",r. kelly,1997,r. kelly,,r. kelly,NA,18,0
6,"""Together Again""",janet,1998,janet,,janet,NA,2,0
6,"""Kiss Me""",sixpence none the richer,1999,sixpence none the richer,,sixpence none the richer,NA,1,1
6,"""Say My Name""",destiny's child,2000,destiny's child,,destiny's child,NA,12,0
