No.,Title,Artist,Year,all_artists,artist_list,primary_artist,other_artists,primary_artist_count,one_hit
87,"""Life's Been Good""",joe walsh,1978,joe walsh,,joe walsh,NA,2,0
87,"""How You Gonna See Me Now""",alice cooper,1979,alice cooper,,alice cooper,NA,6,0
87,"""Sara""",fleetwood mac,1980,fleetwood mac,,fleetwood mac,NA,10,0
87,"""Tell It Like It Is""",heart,1981,heart,,heart,NA,8,0
87,"""Vacation""",the go-go's,1982,the go-go's,,the go-go's,NA,4,0
87,"""Lawyers in Love""",jackson browne,1983,jackson browne,,jackson browne,NA,4,0
87,"""Round and Round""",ratt,1984,ratt,,ratt,NA,1,1
87,"""What About Love""",heart,1985,heart,,heart,NA,8,0
87,"""Nikita""",elton john,1986,elton john,,elton john,NA,28,0
87,"""Just to See Her""",smokey robinson,1987,smokey robinson,,smokey robinson,NA,3,0
87,"""Nite and Day""",al b. sure!,1988,al b. sure!,,al b. sure!,NA,1,1
87,"""I Wanna Have Some Fun""",samantha fox,1989,samantha fox,,samantha fox,NA,3,0
87,"""We Can't Go Wrong""",the cover girls,1990,the cover girls,,the cover girls,NA,2,0
87,"""Just Another Dream""",cathy dennis,1991,cathy dennis,,cathy dennis,NA,3,0
87,"""Slow Motion""",color me badd,1992,color me badd,,color me badd,NA,6,0
87,"""Fields of Gold""",sting,1993,sting,,sting,NA,7,0
87,"""Don't Take the Girl""",tim mcgraw,1994,tim mcgraw,,tim mcgraw,NA,10,0
87,"""Turn the Beat Around""",gloria estefan,1995,gloria estefan,,gloria estefan,NA,8,0
87,"""No One Else""",total,1996,total,,total,NA,5,0
87,"""Don't Cry for Me Argentina""",madonna,1997,madonna,,madonna,NA,36,0
87,"""Foolish Games"" / ""You Were Meant for Me""",jewel,1998,jewel,,jewel,NA,6,0
87,"""Ghetto Cowboy""",mo thugs,1999,mo thugs,,mo thugs,NA,1,1
87,"""I Hope You Dance""",lee ann womack with sons of the desert,2000,lee ann womack with sons of the desert,,lee ann womack,sons of the desert,2,0
87,"""I Wish""",r. kelly,2001,r. kelly,,r. kelly,NA,18,0
87,"""Standing Still""",jewel,2002,jewel,,jewel,NA,6,0
87,"""What Was I Thinkin'""",dierks bentley,2003,dierks bentley,,dierks bentley,NA,2,0
87,"""Holidae In""",chingy featuring ludacris and snoop dogg,2004,chingy featuring ludacris and snoop dogg,,chingy,"ludacris, snoop dogg",5,0
87,"""Ordinary People""",john legend,2005,john legend,,john legend,NA,3,0
87,"""Waiting on the World to Change""",john mayer,2006,john mayer,,john mayer,NA,6,0
87,"""Ayo Technology""",50 cent featuring justin timberlake and timbaland,2007,50 cent featuring justin timberlake and timbaland,,50 cent,"justin timberlake, timbal,",9,0
87,"""In Love with a Girl""",gavin degraw,2008,gavin degraw,,gavin degraw,NA,4,0
87,"""3""",britney spears,2009,britney spears,,britney spears,NA,16,0
87,"""Use Somebody""",kings of leon,2010,kings of leon,,kings of leon,NA,2,0
87,"""Don't Wanna Go Home""",jason derulo,2011,jason derulo,,jason derulo,NA,11,0
87,"""A Thousand Years""",christina perri,2012,christina perri,,christina perri,NA,2,0
87,"""U.O.E.N.O.""",rocko featuring future and rick ross,2013,rocko featuring future and rick ross,,rocko,"future, rick ross",1,1
87,"""No Mediocre""",t.i. featuring iggy azalea,2014,t.i. featuring iggy azalea,,t.i.,iggy azalea,11,0
87,"""Kick the Dust Up""",luke bryan,2015,luke bryan,,luke bryan,NA,9,0
87,"""All the Way Up""",fat joe and remy ma featuring french montana and infared,2016,fat joe and remy ma featuring french montana and infared,,fat joe,"remy ma, french montana, infared",5,0
87,"""Sign of the Times""",harry styles,2017,harry styles,,harry styles,NA,6,0
87,"""Get Along""",kenny chesney,2018,kenny chesney,,kenny chesney,NA,10,0
87,"""Clout""",offset featuring cardi b,2019,offset featuring cardi b,,offset,cardi b,2,0
87,"""Juicy""",doja cat and tyga,2020,doja cat and tyga,,doja cat,tyga,15,0
87,"""POV""",ariana grande,2021,ariana grande,,ariana gr,e,22,0
87,"""Ojitos Lindos""",bad bunny and bomba estéreo,2022,bad bunny and bomba estéreo,,bad bunny,bomba estéreo,12,0
87,"""Memory Lane""",old dominion,2023,old dominion,,old dominion,NA,2,0
87,"""Where It Ends""",bailey zimmerman,2024,bailey zimmerman,,bailey zimmerman,NA,5,0
88,"""Up the Ladder to the Roof""",the supremes,1970,the supremes,,the supremes,NA,1,1
88,"""I Woke Up In Love This Morning""",the partridge family,1971,the partridge family,,the partridge family,NA,2,0
88,"""I Saw the Light""",todd rundgren,1972,todd rundgren,,todd rundgren,NA,2,0
88,"""Break Up to Make Up""",the stylistics,1973,the stylistics,,the stylistics,NA,4,0
88,"""Don't You Worry 'bout a Thing""",stevie wonder,1974,stevie wonder,,stevie wonder,NA,18,0
88,"""Junior's Farm""",paul mccartney & wings,1975,paul mccartney & wings,,paul mccartney,wings,13,0
88,"""Walk Away from Love""",david ruffin,1976,david ruffin,,david ruffin,NA,1,1
88,"""Somebody to Love""",queen,1977,queen,,queen,NA,8,0
88,"""I Love the Nightlife""",alicia bridges,1978,alicia bridges,,alicia bridges,NA,2,0
88,"""Double Vision""",foreigner,1979,foreigner,,foreigner,NA,9,0
88,"""Wait for Me""",daryl hall & john oates,1980,daryl hall & john oates,,daryl hall,john oates,16,0
88,"""Smoky Mountain Rain""",ronnie milsap,1981,ronnie milsap,,ronnie milsap,NA,4,0
88,"""Oh, Pretty Woman""",van halen,1982,van halen,,van halen,NA,6,0
88,"""What About Me""",moving pictures,1983,moving pictures,,moving pictures,NA,1,1
88,"""Head over Heels""",the go-go's,1984,the go-go's,,the go-go's,NA,4,0
88,"""California Girls""",david lee roth,1985,david lee roth,,david lee roth,NA,2,0
88,"""Take Me Home""",phil collins,1986,phil collins,,phil collins,NA,14,0
88,"""Who Will You Run To""",heart,1987,heart,,heart,NA,8,0
88,"""Don't You Know What the Night Can Do?""",steve winwood,1988,steve winwood,,steve winwood,NA,6,0
88,"""She Wants to Dance with Me""",rick astley,1989,rick astley,,rick astley,NA,4,0
88,"""When I'm Back on My Feet Again""",michael bolton,1990,michael bolton,,michael bolton,NA,10,0
88,"""Strike It Up""",black box,1991,black box,,black box,NA,2,0
88,"""What About Your Friends""",tlc,1992,tlc,,tlc,NA,10,0
88,"""Ooh Child""",dino,1993,dino,,dino,NA,3,0
88,"""Got Me Waiting""",heavy d & the boyz,1994,heavy d & the boyz,,heavy d,the boyz,3,0
88,"""'Til You Do Me Right""",after 7,1995,after 7,,after 7,NA,3,0
88,"""My Boo""",ghost town dj's,1996,ghost town dj's,,ghost town dj's,NA,1,1
88,"""Someone""",swv featuring puff daddy,1997,swv featuring puff daddy,,swv,puff daddy,6,0
88,"""Love You Down""",inoj,1998,inoj,,inoj,NA,2,0
88,"""Out of My Head""",fastball,1999,fastball,,fastball,NA,1,1
88,"""Better Off Alone""",alice deejay,2000,alice deejay,,alice deejay,NA,1,1
88,"""It's a Great Day to Be Alive""",travis tritt,2001,travis tritt,,travis tritt,NA,1,1
88,"""Anything""",jaheim featuring next,2002,jaheim featuring next,,jaheim,next,2,0
88,"""Flying Without Wings""",ruben studdard,2003,ruben studdard,,ruben studdard,NA,2,0
88,"""Let's Get It Started""",the black eyed peas,2004,the black eyed peas,,the black eyed peas,NA,15,0
88,"""We Be Burnin'""",sean paul,2005,sean paul,,sean paul,NA,8,0
88,"""Soul Survivor""",young jeezy featuring akon,2006,young jeezy featuring akon,,young jeezy,akon,4,0
88,"""Outta My System""",bow wow featuring t-pain and johntá austin,2007,bow wow featuring t-pain and johntá austin,,bow wow,"t-pain, johntá austin",4,0
88,"""My Life""",the game featuring lil wayne,2008,the game featuring lil wayne,,the game,lil wayne,3,0
88,"""Forever""","drake featuring kanye west, lil wayne and eminem",2009,"drake featuring kanye west, lil wayne and eminem",,drake,"kanye west, lil wayne, eminem",43,0
88,"""Undo It""",carrie underwood,2010,carrie underwood,,carrie underwood,NA,6,0
88,"""Where Them Girls At""",david guetta featuring flo rida and nicki minaj,2011,david guetta featuring flo rida and nicki minaj,,david guetta,"flo rida, nicki minaj",8,0
88,"""Take a Little Ride""",jason aldean,2012,jason aldean,,jason aldean,NA,11,0
88,"""Next to Me""",emeli sandé,2013,emeli sandé,,emeli s,é,1,1
88,"""Come with Me Now""",kongos,2014,kongos,,kongos,NA,1,1
88,"""Blessings""",big sean featuring drake and kanye west,2015,big sean featuring drake and kanye west,,big sean,"drake, kanye west",5,0
88,"""Watch Me""",silentó,2016,silentó,,silentó,NA,2,0
88,"""Water Under the Bridge""",adele,2017,adele,,adele,NA,13,0
88,"""Moonlight""",xxxtentacion,2018,xxxtentacion,,xxxtentacion,NA,4,0
88,"""Love Lies""",khalid and normani,2019,khalid and normani,,khalid,normani,7,0
88,"""Be Like That""","kane brown, swae lee and khalid",2020,"kane brown, swae lee and khalid",,kane brown,"swae lee, khalid",9,0
88,"""Just the Way""",parmalee and blanco brown,2021,parmalee and blanco brown,,parmalee,blanco brown,2,0
88,"""Trouble with a Heartbreak""",jason aldean,2022,jason aldean,,jason aldean,NA,11,0
88,"""Area Codes""",kaliii,2023,kaliii,,kaliii,NA,1,1
88,"""FTCU""",nicki minaj,2024,nicki minaj,,nicki minaj,NA,13,0
89,"""Travelin' Band""",creedence clearwater revival,1970,creedence clearwater revival,,creedence clearwater revival,NA,3,0
89,"""Theme from Shaft""",isaac hayes,1971,isaac hayes,,isaac hayes,NA,2,0
89,"""Motorcycle Mama""",sailcat,1972,sailcat,,sailcat,NA,1,1
89,"""Daisy a Day""",jud strunk,1973,jud strunk,,jud strunk,NA,1,1
89,"""A Very Special Love Song""",charlie rich,1974,charlie rich,,charlie rich,NA,3,0
89,"""Bungle in the Jungle""",jethro tull,1975,jethro tull,,jethro tull,NA,1,1
