Year,No.,primary_artist,Title,is_major_label,decade,sqrt_reappearance,duration_sec,lastfm_genre,lastfm_top_tag,new_lastfm_genre
1970,71,the delfonics,"""Didn't I (Blow Your Mind This Time)""",FALSE,1970,0,201.066,Jazz,Soul,NA
1970,72,elvis presley,"""The Wonder of You""",FALSE,1970,1.4142135623730951,153.2,Rock,Elvis,Rock
1970,74,ronnie dyson,"""(If You Let Me Make Love To You Then) Why Can't I Touch You?""",TRUE,1970,0,203.746,Unknown,Vocal Harmonies,NA
1970,76,the spinners,"""It's a Shame""",TRUE,1970,2.449489742783178,190.058,Rnb,Soul,NA
1970,77,bobbi martin,"""For the Love of Him""",TRUE,1970,0,87.987,Rock,Easy Listening,Rock
1970,78,mountain,"""Mississippi Queen""",TRUE,1970,0,151.293,Rock,Classic Rock,Rock
1970,79,ike,"""I Want to Take You Higher""",FALSE,1970,1,172.026,Rock,Soul,Rock
1970,80,joe cocker,"""The Letter""",FALSE,1970,1.4142135623730951,250.626,Rock,Classic Rock,Rock
1970,81,tee-set,"""Ma Belle Amie""",FALSE,1970,0,194.859,Pop,Oldies,Pop
1970,82,the originals,"""The Bells""",TRUE,1970,0,175.56,Rnb,Motown,NA
1970,83,christie,"""Yellow River""",FALSE,1970,0,165.96,Pop,70s,Pop
1970,84,100 proof (aged in soul),"""Somebody's Been Sleeping""",FALSE,1970,0,252.08,Rnb,Soul,Rnb
1970,85,the ides of march,"""Vehicle""",TRUE,1970,0,178.066,Rock,70s,Rock
1970,86,the pipkins,"""Gimme Dat Ding""",FALSE,1970,0,134.106,Pop,70s,Pop
1970,87,robin mcnamara,"""Lay a Little Lovin' on Me""",FALSE,1970,0,196.84,Rock,Oldies,Rock
1970,88,the supremes,"""Up the Ladder to the Roof""",TRUE,1970,0,191.666,Pop,Motown,Pop
1970,90,the sandpipers,"""Come Saturday Morning""",FALSE,1970,0,185.8,Pop,70s,Pop
1970,92,tom jones,"""Without Love (There Is Nothing)""",FALSE,1970,1,212.838,Pop,Pop,Pop
1970,93,pacific gas,"""Are You Ready?""",TRUE,1970,0,322.266,Rock,Classic Rock,Rock
1970,94,crosby,"""Woodstock""",TRUE,1970,1.4142135623730951,233.773,Unknown,NA,NA
1970,95,dionne warwick,"""I'll Never Fall in Love Again""",TRUE,1970,2,174.84,Pop,Easy Listening,NA
1970,96,the new seekers,"""Look What They've Done to My Song Ma""",TRUE,1970,1,202.906,Pop,Pop,Pop
1970,97,joe south,"""Walk A Mile In My Shoes""",FALSE,1970,0,248.093,Pop,70s,Pop
1970,98,b.b. king,"""The Thrill Is Gone""",FALSE,1970,0,324.733,Blues,Blues,Blues
1970,99,glen campbell,"""It's Only Make Believe""",FALSE,1970,1.7320508075688772,147.48,Country,Country,Country
1970,100,aretha franklin,"""Call Me""",TRUE,1970,2.8284271247461903,237.066,Rnb,Soul,Rnb
1971,2,rod stewart,"""Maggie May""/""Reason to Believe""",FALSE,1970,3.605551275463989,350.146,Unknown,NA,NA
1971,3,carole king,"""It's Too Late""/""I Feel the Earth Move""",TRUE,1970,1,258.16,Unknown,NA,NA
1971,4,the osmonds,"""One Bad Apple""",FALSE,1970,1.4142135623730951,164.973,Pop,70s,Pop
1971,5,bee gees,"""How Can You Mend a Broken Heart""",FALSE,1970,3.3166247903554,285.373,Pop,Pop,Pop
1971,6,raiders,"""Indian Reservation (The Lament of the Cherokee Reservation Indian)""",TRUE,1970,0,171.933,Rock,70s,Rock
