primary_artist,Year,Title,artist_list,is_first_appearance,total_appearances,record_label,album_year,record_label_list,decade,is_major_label,No.,reappearance_count,sqrt_reappearance,reappears_after_first,clean_title,lastfm_genre,lastfm_top_tag,duration_sec,search_artist,new_lastfm_genre
sugarloaf,1970,"""Green-Eyed Lady""","""sugarloaf""",TRUE,2,Capitol Records,1970,Capitol Records,1970,TRUE,30,1,1,TRUE,Green-Eyed Lady,Rock,Classic Rock,219.76,sugarloaf,Rock
stevie wonder,1970,"""Signed, Sealed, Delivered I'm Yours""","""stevie wonder""",TRUE,18,UNI/MOTOWN,1970-08-07,UNI; MOTOWN,1970,TRUE,31,17,4.123105625617661,TRUE,"Signed, Sealed, Delivered I'm Yours",Pop,Soul,161,stevie wonder,Pop
blues image,1970,"""Ride Captain Ride""","""blues image""",TRUE,1,Rhino/Elektra,1970,Rhino; Elektra,1970,TRUE,32,0,0,FALSE,Ride Captain Ride,Rock,Classic Rock,225.56,blues image,Rock
shocking blue,1970,"""Venus""","""shocking blue""",TRUE,1,Red Bullet,1969,Red Bullet,1970,FALSE,33,0,0,FALSE,Venus,Rock,Classic Rock,187.533,shocking blue,Rock
john lennon,1970,"""Instant Karma!""","""john lennon""",TRUE,5,EMI Catalogue,2010-10-05,EMI Catalogue,1970,FALSE,34,4,2,TRUE,Instant Karma!,Rock,Classic Rock,200.653,john lennon,Rock
clarence carter,1970,"""Patches""","""clarence carter""",TRUE,1,Rhino Atlantic,1968,Rhino Atlantic,1970,TRUE,35,0,0,FALSE,Patches,Blues,Soul,193.826,clarence carter,Blues
creedence clearwater revival,1970,"""Lookin' out My Back Door""","""creedence clearwater revival""",TRUE,3,Craft Recordings.,1970-07-24,Craft Recordings.,1970,FALSE,36,2,1.4142135623730951,TRUE,Lookin' out My Back Door,Rock,Classic Rock,152.466,creedence clearwater revival,Rock
brook benton,1970,"""Rainy Night in Georgia""","""brook benton""",TRUE,1,Rhino Atlantic,1970,Rhino Atlantic,1970,TRUE,37,0,0,FALSE,Rainy Night in Georgia,Blues,Soul,233.573,brook benton,NA
kenny rogers,1970,"""Something's Burning""","[""kenny rogers"",""the first edition""]",TRUE,13,MCA Nashville,1970-01-01,MCA Nashville,1970,FALSE,38,12,3.4641016151377544,TRUE,Something's Burning,Rock,Country Rock,242.093,kenny rogers & the first edition,Rock
chairmen of the board,1970,"""Give Me Just a Little More Time""","""chairmen of the board""",TRUE,1,Demon,1970-01-01,Demon,1970,FALSE,39,0,0,FALSE,Give Me Just a Little More Time,Rnb,Soul,162.826,chairmen of the board,NA
edison lighthouse,1970,"""Love Grows (Where My Rosemary Goes)""","""edison lighthouse""",TRUE,1,Fuel Records,1960-03-09,Fuel Records,1970,FALSE,40,0,0,FALSE,Love Grows (Where My Rosemary Goes),Pop,70s,174.76,edison lighthouse,Pop
anne murray,1970,"""Snowbird""","""anne murray""",TRUE,8,EMI Music Canada,1994-01-01,EMI Music Canada,1970,FALSE,42,7,2.6457513110645907,TRUE,Snowbird,Country,Country,134.226,anne murray,Country
marmalade,1970,"""Reflections of My Life""","""marmalade""",TRUE,1,Union Square Music,1969-11-14,Union Square Music,1970,FALSE,43,0,0,FALSE,Reflections of My Life,Pop,60s,251.28,marmalade,Pop
eddie holman,1970,"""Hey There Lonely Girl""","""eddie holman""",TRUE,1,Geffen,1969-01-01,Geffen,1970,FALSE,44,0,0,FALSE,Hey There Lonely Girl,Rnb,Soul,216.76,eddie holman,NA
the jaggerz,1970,"""The Rapper""","""the jaggerz""",TRUE,1,Buddha Records,1970,Buddha Records,1970,FALSE,45,0,0,FALSE,The Rapper,Rock,70s,162.693,the jaggerz,Rock
the hollies,1970,"""He Ain't Heavy, He's My Brother""","""the hollies""",TRUE,3,Epic/Legacy,1967,Epic; Legacy,1970,TRUE,46,2,1.4142135623730951,TRUE,"He Ain't Heavy, He's My Brother",Rock,60s,256.532,the hollies,Rock
alive n kickin',1970,"""Tighter, Tighter""","""alive n kickin'""",TRUE,1,Rhino,1970,Rhino,1970,TRUE,47,0,0,FALSE,"Tighter, Tighter",Pop,Pop,168.853,alive n kickin',Pop
badfinger,1970,"""Come and Get It""","""badfinger""",TRUE,2,EMI Catalogue,1970-01-09,EMI Catalogue,1970,FALSE,48,1,1,TRUE,Come and Get It,Rock,Classic Rock,143.213,badfinger,Rock
charles wright,1970,"""Love Land""","[""charles wright"",""the watts 103rd street rhythm band""]",TRUE,2,Rhino/Warner Records,1970-01-01,Rhino; Warner Records,1970,TRUE,50,1,1,TRUE,Love Land,Rnb,Old School Soul,186.973,charles wright & the watts 103rd street rhythm band,Rnb
tyrone davis,1970,"""Turn Back the Hands of Time""","""tyrone davis""",TRUE,1,Brunswick Records,1970,Brunswick Records,1970,FALSE,51,0,0,FALSE,Turn Back the Hands of Time,Blues,Soul,178.653,tyrone davis,NA
the kinks,1970,"""Lola""","""the kinks""",TRUE,2,Sanctuary Records,1970-11-27,Sanctuary Records,1970,FALSE,52,1,1,TRUE,Lola,Rock,Classic Rock,241.991,the kinks,Rock
mungo jerry,1970,"""In the Summertime""","""mungo jerry""",TRUE,1,Sanctuary Records,1970-01-01,Sanctuary Records,1970,FALSE,53,0,0,FALSE,In the Summertime,Rock,70s,211.88,mungo jerry,NA
