primary_artist,Year,No.,Title,genre,duration_sec,is_major_label,decade,sqrt_reappearance
jerry reed,1971,28,"""Amos Moses""",Country,139.226,FALSE,1970,1
the grass roots,1971,29,"""Temptation Eyes""",Rock,159.173,FALSE,1970,0
george harrison,1971,31,"""My Sweet Lord""/""Isn't It A Pity""",Folk,244.517,FALSE,1970,1.73205080756888
ocean,1971,33,"""Put Your Hand in the Hand""",Folk,176.706,FALSE,1970,0
daddy dewdrop,1971,34,"""Chick-A-Boom (Don't Ya Jes' Love It)""",Pop	Rock,171.533,FALSE,1970,0
gordon lightfoot,1971,36,"""If You Could Read My Mind""",Folk,228.84,TRUE,1970,1
sammi smith,1971,37,"""Help Me Make It Through the Night""",Country,155.533,FALSE,1970,0
cher,1971,39,"""Gypsys, Tramps & Thieves""",Pop,158,FALSE,1970,3
roberta flack,1972,1,"""The First Time Ever I Saw Your Face""",Jazz,260.666,TRUE,1970,2.23606797749979
gilbert o'sullivan,1972,2,"""Alone Again (Naturally)""",Pop	Rock,221.373,FALSE,1970,1.4142135623731
don mclean,1972,3,"""American Pie""",Folk,516.893,TRUE,1970,1.4142135623731
harry nilsson,1972,4,"""Without You""",Folk,201,FALSE,1970,1
sammy davis jr.,1972,5,"""The Candy Man""",Jazz,188.226,FALSE,1970,0
joe tex,1972,6,"""I Gotcha""",Blues,148.813,FALSE,1970,1
mac davis,1972,8,"""Baby, Don't Get Hooked on Me""",Country,183.933,TRUE,1970,1
wayne newton,1972,10,"""Daddy Don't You Walk So Fast""",Pop	Rock,206.333,FALSE,1970,0
looking glass,1972,12,"""Brandy (You're a Fine Girl)""",Pop Rock,186.826,TRUE,1970,0
the chi-lites,1972,13,"""Oh Girl""",Electronic,216.28,FALSE,1970,0
gallery,1972,14,"""Nice to Be with You""",Jazz,157.162,FALSE,1970,0
chuck berry,1972,15,"""My Ding-a-Ling""",Rock,223.573,FALSE,1970,0
luther ingram,1972,16,"""(If Loving You Is Wrong) I Don't Want to Be Right""",Rnb,216.8,FALSE,1970,0
neil young,1972,17,"""Heart of Gold""",Folk,187.11,FALSE,1970,0
the stylistics,1972,18,"""Betcha by Golly, Wow""",Rnb,253.004,FALSE,1970,1.73205080756888
the staple singers,1972,19,"""I'll Take You There""",R&B,196.826,FALSE,1970,1
michael jackson,1972,20,"""Ben""",Vocal,167.386,TRUE,1970,5
robert john,1972,21,"""The Lion Sleeps Tonight""",R&B,153.706,TRUE,1970,1
billy preston,1972,22,"""Outa-Space""",Rnb,250.866,FALSE,1970,1.73205080756888
war,1972,23,"""Slippin' into Darkness""",Blues,227.373,FALSE,1970,2.44948974278318
mouth,1972,25,"""How Do You Do""",NA,244.133,FALSE,1970,0
america,1972,27,"""A Horse with No Name""",Rock,252.239,TRUE,1970,1.73205080756888
hot butter,1972,28,"""Popcorn""",Electronic,151.44,TRUE,1970,0
the main ingredient,1972,29,"""Everybody Plays the Fool""",Rnb,202.253,FALSE,1970,1
climax,1972,30,"""Precious and Few""",Vocal,164.653,FALSE,1970,0
the moody blues,1972,32,"""Nights in White Satin""",Blues,269.106,FALSE,1970,0
raspberries,1972,33,"""Go All the Way""",Pop Rock,205.346,TRUE,1970,0
the o'jays,1972,35,"""Back Stabbers""",Rnb,186.093,TRUE,1970,2.23606797749979
jonathan edwards,1972,37,"""Sunshine""",Folk,138.733,TRUE,1970,0
mel,1972,38,"""Starting All Over Again""",Blues,230.92,FALSE,1970,0
elton john,1972,40,"""Rocket Man""",Pop Rock,281.613,FALSE,1970,5.19615242270663
kris kristofferson,1973,6,"""Why Me""",Country,206.96,FALSE,1970,0
vicki lawrence,1973,11,"""The Night the Lights Went Out in Georgia""",Country,220.52,FALSE,1970,0
clint holmes,1973,12,"""Playground in My Mind""",Pop	Rock,172.746,TRUE,1970,0
stories,1973,13,"""Brother Louie""",Pop Rock,235.8,FALSE,1970,0
billy paul,1973,15,"""Me and Mrs. Jones""",Jazz,284.906,TRUE,1970,0
the edgar winter group,1973,16,"""Frankenstein""",Rock,284.293,FALSE,1970,1
dobie gray,1973,17,"""Drift Away""",Rnb,237.466,FALSE,1970,0
sweet,1973,18,"""Little Willy""",Rock,192.293,TRUE,1970,1.73205080756888
sylvia robinson,1973,22,"""Pillow Talk""",NA,116.823,TRUE,1970,0
grand funk railroad,1973,23,"""We're an American Band""",Blues,207.093,TRUE,1970,1.4142135623731
dr. john,1973,24,"""Right Place Wrong Time""",Blues,175.24,TRUE,1970,0
skylark,1973,25,"""Wildflower""",Folk,250.4,FALSE,1970,0
maureen mcgovern,1973,28,"""The Morning After""",Jazz,141.72,FALSE,1970,0
stealers wheel,1973,30,"""Stuck in the Middle with You""",Folk,208.946,FALSE,1970,0
barry white,1973,33,"""I'm Gonna Love You Just a Little More Baby""",Rnb,431.506,FALSE,1970,1.4142135623731
eddie kendricks,1973,35,"""Keep on Truckin'""",NA,479.413,TRUE,1970,1.4142135623731
king harvest,1973,37,"""Dancing in the Moonlight""",Pop	Rock,181.133,FALSE,1970,0
bobby 'boris' pickett,1973,38,"""Monster Mash""",Pop	Rock,192.04,FALSE,1970,0
bloodstone,1973,39,"""Natural High""",R&B,240.466,FALSE,1970,0
seals,1973,40,"""Diamond Girl""",Country,253.4,TRUE,1970,1
barbra streisand,1974,1,"""The Way We Were""",Vocal,211.093,TRUE,1970,3
terry jacks,1974,2,"""Seasons in the Sun""",Pop Rock,208.853,TRUE,1970,0
love unlimited orchestra,1974,3,"""Love's Theme""",Jazz,246.266,FALSE,1970,0
mfsb,1974,7,"""TSOP (The Sound of Philadelphia)""",Pop,222.346,FALSE,1970,0
kool,1974,12,"""Jungle Boogie""",Jazz,186.533,FALSE,1970,3.46410161513775
maria muldaur,1974,13,"""Midnight at the Oasis""",Rock,229.506,TRUE,1970,0
al wilson,1974,15,"""Show and Tell""",R&B,209.98,FALSE,1970,0
jim stafford,1974,16,"""Spiders and Snakes""",Rock,188.64,FALSE,1970,1.4142135623731
david essex,1974,17,"""Rock On""",Pop Rock,204.186,TRUE,1970,0
blue magic,1974,19,"""Sideshow""",Rnb,251.52,TRUE,1970,0
blue swede,1974,20,"""Hooked on a Feeling""",Pop Rock,172.866,FALSE,1970,0
bo donaldson and the heywoods,1974,21,"""Billy Don't Be a Hero""",NA,205.866,FALSE,1970,0
paul anka,1974,28,"""(You're) Having My Baby""",Jazz,156.293,FALSE,1970,1.73205080756888
andy kim,1974,29,"""Rock Me Gently""",Pop Rock,208.333,TRUE,1970,0
george mccrae,1974,38,"""Rock Your Baby""",R&B,200.053,TRUE,1970,0
steve miller band,1974,40,"""The Joker""",Rock,264.503,FALSE,1970,2
captain,1975,1,"""Love Will Keep Us Together""",Electronic,205.493,FALSE,1970,2
freddy fender,1975,4,"""Before the Next Teardrop Falls""",Country,149.951,FALSE,1970,1
frankie valli,1975,5,"""My Eyes Adored You""",Jazz,212.013,TRUE,1970,1.4142135623731
earth,1975,7,"""Shining Star""",Jazz,170.16,TRUE,1970,3
neil sedaka,1975,9,"""Laughter in the Rain""",Jazz,170.066,TRUE,1970,1.4142135623731
eagles,1975,10,"""One of These Nights""",Country,291.685,TRUE,1970,2.64575131106459
minnie riperton,1975,14,"""Lovin' You""",Jazz,223.143,TRUE,1970,0
carl douglas,1975,15,"""Kung Fu Fighting""",Pop,197.935,FALSE,1970,0
janis ian,1975,20,"""At Seventeen""",Rock	Pop,283.88,TRUE,1970,0
average white band,1975,21,"""Pick Up the Pieces""",Jazz,239.908,TRUE,1970,1
van mccoy,1975,22,"""The Hustle""",Pop,248.222,FALSE,1970,0
labelle,1975,23,"""Lady Marmalade""",Jazz,237.12,FALSE,1970,0
major harris,1975,25,"""Love Won't Let Me Wait""",Blues,333.093,TRUE,1970,0
ozark mountain daredevils,1975,30,"""Jackie Blue""",Country,250.12,FALSE,1970,0
pilot,1975,32,"""Magic""",Rock,186.333,FALSE,1970,0
barry manilow,1975,36,"""Mandy""",Pop,213.333,TRUE,1970,3.16227766016838
michael martin murphey,1975,40,"""Wildfire""",Country,307.866,TRUE,1970,0
the four seasons,1976,4,"""December, 1963 (Oh, What a Night)""",Pop Rock,197.146,TRUE,1970,1
wild cherry,1976,5,"""Play That Funky Music""",Rock	Rnb,300,FALSE,1970,0
the manhattans,1976,6,"""Kiss and Say Goodbye""",Vocal,266.733,TRUE,1970,1
the miracles,1976,7,"""Love Machine""",Rnb,181.44,FALSE,1970,0
gary wright,1976,9,"""Love Is Alive""",Pop Rock,230.106,TRUE,1970,1.4142135623731
walter murphy,1976,10,"""A Fifth of Beethoven""",NA,182.533,FALSE,1970,0
hall,1976,11,"""Sara Smile""",Pop Rock,185.293,FALSE,1970,1.4142135623731
starland vocal band,1976,12,"""Afternoon Delight""",Country,193.04,FALSE,1970,0
silver convention,1976,14,"""Fly, Robin, Fly""",R&B,230.92,FALSE,1970,1
andrea true connection,1976,17,"""More, More, More""",Pop,376.866,FALSE,1970,0
dorothy moore,1976,19,"""Misty Blue""",Blues,222.4,TRUE,1970,0
the sylvers,1976,20,"""Boogie Fever""",Pop,211.413,FALSE,1970,1.4142135623731
england dan,1976,21,"""I'd Really Love to See You Tonight""",Electronic,159.106,TRUE,1970,1
hot chocolate,1976,22,"""You Sexy Thing""",Pop,244.92,FALSE,1970,1
nazareth,1976,23,"""Love Hurts""",Pop Rock,233.133,FALSE,1970,0
commodores,1976,27,"""Sweet Love""",Rnb	Jazz,393.561,TRUE,1970,2.64575131106459
maxine nightingale,1976,28,"""Right Back Where We Started From""",Rock,192.266,FALSE,1970,1
rhythm heritage,1976,29,"""Theme from S.W.A.T.""",Rnb	Jazz,201.493,FALSE,1970,0
lou rawls,1976,32,"""You'll Never Find Another Love Like Mine""",Rnb,266.2,FALSE,1970,0
starbuck,1976,34,"""Moonlight Feels Right""",Rock,221.066,FALSE,1970,0
the bellamy brothers,1976,36,"""Let Your Love Flow""",Country,196.826,FALSE,1970,0
vicki sue robinson,1976,38,"""Turn the Beat Around""",Pop,333.826,TRUE,1970,0
eric carmen,1976,40,"""All by Myself""",Pop	Rock,430,TRUE,1970,1.4142135623731
andy gibb,1977,2,"""I Just Want to Be Your Everything""",Pop Rock,225.666,FALSE,1970,2.44948974278318
the emotions,1977,3,"""Best of My Love""",Rnb	Pop,220.56,FALSE,1970,0
hot,1977,5,"""Angel in Your Arms""",Rap,176.573,TRUE,1970,0
kenny nolan,1977,6,"""I Like Dreamin'""",NA,213,FALSE,1970,1
thelma houston,1977,7,"""Don't Leave Me This Way""",Jazz,217.733,TRUE,1970,0
rita coolidge,1977,8,"""(Your Love Has Lifted Me) Higher and Higher""",Electronic,241.72,FALSE,1970,1
alan o'day,1977,9,"""Undercover Angel""",Pop	Rock,211.226,FALSE,1970,0
mary macgregor,1977,10,"""Torn Between Two Lovers""",Pop	Rock,219.973,TRUE,1970,0
jimmy buffett,1977,14,"""Margaritaville""",Pop	Rock,250.933,FALSE,1970,0
pablo cruise,1977,16,"""Whatcha Gonna Do?""",Pop Rock,256.84,FALSE,1970,1.4142135623731
peter mccann,1977,17,"""Do You Wanna Make Love""",Rock,211.772,FALSE,1970,0
